Statistical profiling result from fast-v8.log, (15115 ticks, 8 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.2%  LazyCompile: *tokEnd C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-lexer\index.js:146:19
      1    0.0%    0.2%  LazyCompile: *tok C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-lexer\index.js:121:16
      1    0.0%    0.2%  LazyCompile: *toNamespacedPath node:path:618:19
      1    0.0%    0.2%  LazyCompile: *takeSurroundingComments C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:1718:26
      1    0.0%    0.2%  LazyCompile: *tag C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-parser\index.js:1133:16
      1    0.0%    0.2%  LazyCompile: *tag C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-lexer\index.js:391:16
      1    0.0%    0.2%  LazyCompile: *startNode C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:4278:12
      1    0.0%    0.2%  LazyCompile: *scan C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-lexer\index.js:197:17
      1    0.0%    0.2%  LazyCompile: *readToken_question C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:2476:21
      1    0.0%    0.2%  LazyCompile: *readInt C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:2781:10
      1    0.0%    0.2%  LazyCompile: *pp$3.parseMaybeUnary C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\acorn\dist\acorn.js:2087:34
      1    0.0%    0.2%  LazyCompile: *parseUntil C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\character-parser\index.js:47:20
      1    0.0%    0.2%  LazyCompile: *parseTemplate C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:13450:16
      1    0.0%    0.2%  LazyCompile: *parseLiteralAtNode C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:13208:21
      1    0.0%    0.2%  LazyCompile: *parseLiteral C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:13216:15
      1    0.0%    0.2%  LazyCompile: *parseExprOpRightExpr C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\@babel\parser\lib\index.js:12369:23
      1    0.0%    0.2%  LazyCompile: *parseExpr C:\Users\duvam\Documents\Coder House backend\desafio_loggers_gzip\Loggers_gzip\node_modules\pug-parser\index.js:219:22
